FAR_ID,Maneuver_Case,Analysis_Method,Method_Summary
"FAR/CS 25.497 / FAR/CS 23.497",Tail wheel yawing,§c,"Applicable to tail-dragger configurations only. Tail wheel side force = 0.133 × limit vertical tail wheel reaction. Applied laterally at tail wheel attachment. Generates torsion and lateral bending in aft fuselage structure."
"FAR/CS 25.499 / FAR/CS 23.499",Nose-wheel yaw and steering,§c,"Nose gear side force from maximum steering torque or shimmy excitation. Applied laterally at nose gear attachment point. Generates lateral bending in forward fuselage frames and nose gear leg. Applied at maximum ramp weight."
"FAR/CS 25.503 / FAR/CS 23.503",Pivoting,§c,"Aircraft pivots about one stationary main gear with the other gear as the moving pivot point. Friction force at fixed-gear contact generates fuselage torsion and lateral wing bending. Critical for main gear fitting and wing attachment frame shear loads."
"FAR/CS 25.507 / FAR/CS 23.507",Reversed braking,§c,"Brake drag applied in the forward direction (reverse-thrust or reversed braking scenario). Generates nose-up pitching moment reacted by nose gear down-load increase. Critical for upper skin of forward fuselage and nose gear leg tension."
"FAR/CS 25.509 / FAR/CS 23.509",Towing loads,§c,"Tow force applied at tow fitting in multiple directions per FAR/CS 25.509 table. Generates longitudinal; lateral; and vertical loads in forward fuselage structure and nose gear leg. Evaluated at maximum ramp weight with no aerodynamic loads."
"FAR/CS 25.519 / FAR/CS 23.519",Jacking and tie-down,§c,"Vertical jack load at each jack point at maximum gross weight. Generates concentrated bending at jack pad fitting and local skin. Tie-down load = 1.33 × W applied in forward; aft; and lateral directions at tie-down fittings."
"FAR/CS 25.473 / FAR/CS 23.473",Landing — general conditions and assumptions,§d1,"Defines design sink rates: V_sink = 10 fps at max landing weight; 6 fps at max takeoff weight. Gear efficiency η_gear = 0.80 per FAR/CS 25.473(b). Reserve energy method: F_gear_lbf = W_lbf × η_gear × (1 + V_sink_fps² / (2 × G_FT_S2 × d_stroke_ft))."
"FAR/CS 25.477 / FAR/CS 23.477",Landing gear arrangement,§d1,"Defines main and nose gear geometry used to distribute total gear reaction between struts. CG position relative to gear base determines fore/aft load split. Applied once per aircraft configuration before running all landing sub-cases."
"FAR/CS 25.479 / FAR/CS 23.479",Level landing — 2-point,§d1,"Two main gears contact simultaneously. Peak F_gear from reserve energy method distributed per strut geometry. Drag component = 0.25 × vertical reaction applied aft at contact patch. Effective n_z_eff = F_gear_lbf / W_lbf applied to airframe as quasi-static case."
"FAR/CS 25.481 / FAR/CS 23.481",Tail-down landing,§d1,"Aircraft contacts runway at maximum tail-down attitude α_td_deg. Main gear and tail skid contact simultaneously. Nose-up pitching moment from tail skid reaction added to vertical gear load in loads.py. Critical for aft fuselage and tail skid attachment."
"FAR/CS 25.483 / FAR/CS 23.483",One-gear landing,§d1,"100% of the limit vertical landing reaction applied at one main gear only. Lateral load = 0.25 × vertical at the loaded gear; zero at the unloaded gear. Generates antisymmetric rolling moment in airframe. Critical for loaded main gear fitting and wing lower skin."
"FAR/CS 25.485 / FAR/CS 23.485",Lateral drift — landing,§d1,"0.25 × limit vertical landing reaction applied laterally at gear contact simultaneously with the level landing vertical load. Generates lateral bending in main gear leg and wing carry-through. Distinct from the ground-handling side load case (25.485 applies to both)."
"FAR/CS 25.487 / FAR/CS 23.487",Rebound landing,§d1,"Aircraft bounces off the ground after initial gear contact. At the moment of lift-off the gear is at full extension and the aircraft is at limit design weight. Applied as a separate quasi-static case. Critical for gear spring-back structural loads."
"FAR/CS 25.511 / FAR/CS 23.511",Ground load dynamic conditions,§d3,"Dynamic spring-damper gear model: F_gear(t) = k_gear × x_ft(t) + c_gear × x_dot_fps(t). Aircraft plus gear equations of motion integrated from V_sink_fps initial condition until gear stroke exhausted or rebound. Peak gear attachment loads and airframe section loads extracted from time history. Subject to decision.md §3."
